,PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
38,39,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,45,45
39,40,2,2,0,0,1,0.0,0.5,0.0,1.0,0,1,0.0,0.5,0,1,0,0,0,0,1,1,1,0,32,27
40,41,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,1,1,0,0,0,0,0,1,0,0,19,19
41,42,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,10,10
42,43,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,1,0,1,0,0,5,5
43,44,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,49,49
44,45,5,3,2,0,0,0.0,0.0,0.4,0.6,1,0,0.2,0.0,0,0,0,2,0,0,0,0,5,3,33,12
45,46,12,7,5,7,4,0.583,0.333,0.417,0.583,10,5,0.833,0.417,3,2,1,2,0,0,7,2,10,0,48,2
46,47,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,8,8
47,48,2,1,1,0,1,0.0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,18,7
48,49,7,3,4,5,2,0.714,0.286,0.571,0.429,5,2,0.714,0.286,2,0,0,0,0,0,2,4,3,5,60,2
49,50,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,14,14
50,51,4,0,4,2,0,0.5,0.0,1.0,0.0,2,0,0.5,0.0,1,1,0,0,0,0,0,1,3,3,83,5
51,52,2,1,1,1,0,0.5,0.0,0.5,0.5,1,0,0.5,0.0,1,1,0,0,0,0,0,2,0,1,59,3
52,53,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,44,44
53,54,3,2,1,2,2,0.667,0.667,0.333,0.667,2,2,0.667,0.667,0,1,0,1,0,0,1,1,2,0,16,4
54,55,5,1,4,3,0,0.6,0.0,0.8,0.2,3,0,0.6,0.0,1,0,0,2,0,0,2,0,5,1,24,5
55,56,2,0,2,0,0,0.0,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,0,0,0,2,0,2,0,9,8
56,57,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,64,64
57,58,9,7,2,1,1,0.111,0.111,0.222,0.778,4,2,0.444,0.222,0,0,0,3,0,0,0,0,9,6,42,6
58,59,3,0,3,0,0,0.0,0.0,1.0,0.0,1,0,0.333,0.0,0,0,0,1,0,0,1,1,2,1,24,8
59,60,3,0,3,0,0,0.0,0.0,1.0,0.0,3,0,1.0,0.0,0,1,0,2,0,0,0,1,2,0,11,8
60,61,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,40,40
61,62,9,6,3,0,5,0.0,0.556,0.333,0.667,3,5,0.333,0.556,0,1,0,5,0,0,1,1,8,2,39,9
62,63,2,1,1,0,0,0.0,0.0,0.5,0.5,1,1,0.5,0.5,0,1,0,1,0,0,0,1,1,0,33,9
63,64,2,1,1,0,1,0.0,0.5,0.5,0.5,0,1,0.0,0.5,0,1,0,1,0,0,0,1,1,0,24,16
64,65,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,0,1,0,0,0,0,1,1,1,0,40,10
65,66,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,7,7
66,67,3,0,3,0,0,0.0,0.0,1.0,0.0,3,0,1.0,0.0,1,1,0,1,0,0,0,1,2,1,12,11
67,68,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,27,27
68,69,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,2,0,0,0,0,0,2,0,0,70,13
69,70,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,6,6
70,71,26,22,4,1,0,0.038,0.0,0.154,0.846,1,0,0.038,0.0,0,0,0,1,25,0,0,25,1,0,59,5
71,72,4,0,4,1,0,0.25,0.0,1.0,0.0,2,0,0.5,0.0,0,0,0,0,0,0,1,3,1,3,76,3
72,73,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,2,0,0,0,0,0,2,0,0,7,4
73,74,2,2,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,1,0,0,2,0,0,120,54
74,75,3,0,3,0,0,0.0,0.0,1.0,0.0,2,0,0.667,0.0,0,0,0,2,0,0,0,0,3,1,115,7
75,76,10,2,8,3,2,0.3,0.2,0.8,0.2,8,2,0.8,0.2,2,0,0,9,0,0,0,0,10,1,19,2
76,77,4,2,2,0,0,0.0,0.0,0.5,0.5,2,1,0.5,0.25,0,1,0,2,0,0,0,1,3,1,66,8
77,78,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,0,0,0,2,0,0,0,0,2,0,14,10
78,79,3,1,2,1,0,0.333,0.0,0.667,0.333,1,0,0.333,0.0,0,1,1,1,0,0,0,1,2,0,70,5
79,80,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,1,1,0,0,0,0,0,2,0,1,20,10
80,81,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,8,8
81,82,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,6,6
82,83,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,2,1,14,14
83,84,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,26,26
84,85,1,1,0,1,1,1.0,1.0,0.0,1.0,1,1,1.0,1.0,0,0,0,0,0,0,0,1,0,1,6,6
85,86,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,2,0,0,1,1,0,0,1,1,0,10,2
86,87,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,1,0,1,0,20,20
87,88,11,6,5,1,1,0.091,0.091,0.455,0.545,3,4,0.273,0.364,0,4,0,6,0,0,0,4,7,1,49,3
88,89,3,1,2,2,1,0.667,0.333,0.667,0.333,2,1,0.667,0.333,1,0,0,1,0,0,0,0,3,2,48,2
89,90,5,3,2,0,0,0.0,0.0,0.4,0.6,0,0,0.0,0.0,0,0,0,0,2,0,3,2,3,0,47,14
90,91,4,0,4,2,0,0.5,0.0,1.0,0.0,3,0,0.75,0.0,1,0,0,1,0,0,0,1,3,3,40,6
91,92,2,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,0,0,0,0,0,2,0,2,0,12,4
92,93,7,1,6,4,0,0.571,0.0,0.857,0.143,6,0,0.857,0.0,2,0,0,4,0,0,1,1,6,2,46,3
93,94,4,2,2,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,1,0,2,0,0,1,1,3,0,60,40
94,95,4,3,1,0,0,0.0,0.0,0.25,0.75,0,1,0.0,0.25,0,0,0,0,1,0,0,3,1,3,93,18
95,96,2,0,2,1,0,0.5,0.0,1.0,0.0,1,0,0.5,0.0,0,1,0,0,0,0,1,1,1,0,16,3
96,97,8,4,4,1,2,0.125,0.25,0.5,0.5,2,3,0.25,0.375,0,8,0,0,0,0,0,8,0,0,56,4
97,98,23,14,9,3,3,0.13,0.13,0.391,0.609,6,4,0.261,0.174,2,0,0,2,4,0,1,19,4,16,61,1
98,99,8,1,7,3,0,0.375,0.0,0.875,0.125,6,0,0.75,0.0,3,1,0,4,0,0,1,1,7,2,113,3
99,100,6,5,1,0,0,0.0,0.0,0.167,0.833,0,0,0.0,0.0,0,1,0,0,5,0,0,6,0,0,67,42
100,101,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,42,42
101,102,4,4,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,0.25,0,0,0,0,4,0,0,4,0,0,74,19
102,103,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,2,1,0,0,0,1,0,2,0,0,22,14
103,104,1,1,0,1,1,1.0,1.0,0.0,1.0,1,1,1.0,1.0,0,0,0,0,1,0,0,1,0,0,5,5
104,105,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,5,5
105,106,12,12,0,0,0,0.0,0.0,0.0,1.0,0,2,0.0,0.167,0,2,0,0,7,0,0,10,2,3,191,24
106,107,7,5,2,2,2,0.286,0.286,0.286,0.714,2,2,0.286,0.286,2,0,0,7,0,0,0,0,7,0,39,3
107,108,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,3,3
108,109,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,4,4
109,110,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,60,60
110,111,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,76,76
111,112,3,2,1,0,0,0.0,0.0,0.333,0.667,1,1,0.333,0.333,0,2,0,0,0,1,0,3,0,0,65,9
112,113,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,16,16
113,114,8,4,4,1,0,0.125,0.0,0.5,0.5,3,0,0.375,0.0,1,1,0,3,3,0,1,4,4,0,56,2
114,115,7,4,3,5,4,0.714,0.571,0.429,0.571,7,4,1.0,0.571,0,0,1,0,1,0,3,3,4,2,7,2
115,116,2,2,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,2,0,2,0,0,192,187
116,117,6,3,3,0,0,0.0,0.0,0.5,0.5,1,0,0.167,0.0,0,1,0,2,0,0,1,1,5,2,43,8
117,118,9,6,3,2,0,0.222,0.0,0.333,0.667,3,2,0.333,0.222,0,1,0,8,0,0,0,1,8,0,76,3
118,119,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,9,9
119,120,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,13,13
120,121,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,7,7
121,122,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,29,29
122,123,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,1,0,1,0,0,0,1,1,0,12,4
123,124,3,1,2,2,1,0.667,0.333,0.667,0.333,2,1,0.667,0.333,0,0,0,1,0,0,1,0,3,1,47,3
124,125,26,26,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,24,0,1,25,1,0,193,24
125,126,6,3,3,2,3,0.333,0.5,0.5,0.5,3,3,0.5,0.5,1,0,0,5,0,0,0,0,6,1,20,3
126,127,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,98,98
127,128,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,1,1,0,0,1,0,0,2,0,0,10,2
128,129,2,0,2,0,0,0.0,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,2,0,0,0,0,2,0,11,7
129,130,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,63,63
130,131,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,24,24
131,132,1,1,0,0,1,0.0,1.0,0.0,1.0,1,1,1.0,1.0,0,0,0,1,0,0,0,0,1,0,9,9
132,133,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,14,14
133,134,4,1,3,3,1,0.75,0.25,0.75,0.25,4,1,1.0,0.25,3,0,0,2,0,0,1,0,4,1,9,1
134,135,2,0,2,2,0,1.0,0.0,1.0,0.0,2,0,1.0,0.0,1,0,0,2,0,0,0,0,2,0,6,2
135,136,7,3,4,2,2,0.286,0.286,0.571,0.429,3,2,0.429,0.286,1,1,1,1,2,0,1,4,3,1,58,5
136,137,10,10,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,9,0,0,10,0,0,61,28
137,138,4,1,3,0,0,0.0,0.0,0.75,0.25,1,1,0.25,0.25,0,1,0,3,0,0,0,1,3,0,30,11
138,139,6,1,5,2,0,0.333,0.0,0.833,0.167,4,1,0.667,0.167,2,1,0,3,0,0,1,1,5,1,23,1
139,140,5,1,4,1,0,0.2,0.0,0.8,0.2,4,1,0.8,0.2,0,1,0,0,4,0,0,5,0,0,32,3
140,141,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,4,4
141,142,7,5,2,0,0,0.0,0.0,0.286,0.714,2,2,0.286,0.286,0,0,0,0,2,0,0,5,2,5,69,6
142,143,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,53,53
143,144,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,67,67
144,145,3,1,2,0,0,0.0,0.0,0.667,0.333,0,0,0.0,0.0,0,1,0,0,0,0,0,2,1,2,145,18
145,146,12,3,9,4,1,0.333,0.083,0.75,0.25,8,3,0.667,0.25,0,3,0,7,0,0,0,3,9,2,31,3
146,147,11,3,8,2,0,0.182,0.0,0.727,0.273,4,1,0.364,0.091,1,1,2,5,0,0,3,1,10,0,59,4
147,148,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,11,11
148,149,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,37,37
149,150,2,1,1,1,0,0.5,0.0,0.5,0.5,1,0,0.5,0.0,1,0,0,1,1,0,0,1,1,0,33,1
150,151,15,12,3,14,12,0.933,0.8,0.2,0.8,15,12,1.0,0.8,2,0,0,1,14,0,0,14,1,0,12,3
151,152,6,2,4,0,0,0.0,0.0,0.667,0.333,3,1,0.5,0.167,0,2,0,0,2,1,0,6,0,1,65,8
152,153,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,2,0,0,0,0,2,0,9,3
153,154,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,24,24
154,155,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,0,0,3,0,0,0,0,3,0,32,20
155,156,2,1,1,0,1,0.0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,1,1,18,7
156,157,3,3,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,1,1,0,0,0,1,2,0,150,38
157,158,5,2,3,1,1,0.2,0.2,0.6,0.4,2,2,0.4,0.4,0,0,0,3,0,0,1,0,5,1,31,4
158,159,17,16,1,1,2,0.059,0.118,0.059,0.941,1,2,0.059,0.118,0,2,0,1,13,0,0,15,2,1,159,2
159,160,3,0,3,1,0,0.333,0.0,1.0,0.0,2,0,0.667,0.0,0,1,0,1,0,0,0,2,1,1,12,4
160,161,7,4,3,1,0,0.143,0.0,0.429,0.571,2,0,0.286,0.0,0,1,0,0,3,0,0,7,0,3,77,3
161,162,5,2,3,0,0,0.0,0.0,0.6,0.4,0,0,0.0,0.0,0,2,0,0,2,0,0,5,0,1,104,58
162,163,5,1,4,2,0,0.4,0.0,0.8,0.2,2,0,0.4,0.0,0,0,0,0,0,0,3,2,3,2,51,4
163,164,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,27,27
164,165,5,2,3,3,1,0.6,0.2,0.6,0.4,4,2,0.8,0.4,2,0,0,3,0,0,1,0,5,1,16,4
165,166,20,16,4,1,3,0.05,0.15,0.2,0.8,3,3,0.15,0.15,2,0,0,5,11,0,0,12,8,4,58,1
166,167,13,10,3,1,0,0.077,0.0,0.231,0.769,1,2,0.077,0.154,2,2,0,0,10,0,0,13,0,1,87,5
167,168,3,1,2,2,1,0.667,0.333,0.667,0.333,2,1,0.667,0.333,1,1,0,1,0,0,0,2,1,1,15,3
168,169,7,1,6,0,0,0.0,0.0,0.857,0.143,1,0,0.143,0.0,4,1,0,0,0,0,0,7,0,6,64,7
169,170,3,0,3,3,0,1.0,0.0,1.0,0.0,3,0,1.0,0.0,0,0,0,0,3,0,0,3,0,0,5,5
170,171,4,1,3,3,0,0.75,0.0,0.75,0.25,3,0,0.75,0.0,1,1,0,3,0,0,0,1,3,0,29,3
171,172,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,33,33
172,173,18,9,9,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,6,1,0,1,2,0,0,17,1,14,62,16
173,174,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,21,21
174,175,6,0,6,5,0,0.833,0.0,1.0,0.0,6,0,1.0,0.0,1,0,0,1,0,0,1,0,6,4,8,3
175,176,14,12,2,0,0,0.0,0.0,0.143,0.857,2,4,0.143,0.286,1,0,0,0,12,0,0,14,0,2,69,7
176,177,3,0,3,0,0,0.0,0.0,1.0,0.0,1,0,0.333,0.0,0,1,0,1,0,0,0,1,2,1,97,12
177,178,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,34,34
178,179,4,0,4,1,0,0.25,0.0,1.0,0.0,4,0,1.0,0.0,0,0,0,2,0,0,1,0,4,1,12,6
179,180,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,2,24,24
180,181,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,0,1,0,1,0,0,0,1,1,0,28,7
181,182,24,16,8,1,0,0.042,0.0,0.333,0.667,2,2,0.083,0.083,1,1,7,7,0,0,8,1,23,1,74,2
182,183,3,2,1,1,1,0.333,0.333,0.333,0.667,1,1,0.333,0.333,1,0,0,0,1,0,0,3,0,2,56,4
183,184,9,5,4,0,0,0.0,0.0,0.444,0.556,0,0,0.0,0.0,0,1,3,0,0,0,4,1,8,1,137,17
184,185,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,4,4
185,186,3,1,2,0,0,0.0,0.0,0.667,0.333,0,0,0.0,0.0,0,0,0,0,3,0,0,3,0,0,36,27
186,187,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,19,19
187,188,7,4,3,0,1,0.0,0.143,0.429,0.571,2,2,0.286,0.286,0,1,0,0,6,0,0,7,0,0,39,8
188,189,4,3,1,0,0,0.0,0.0,0.25,0.75,0,0,0.0,0.0,0,0,0,3,0,0,0,0,4,1,41,20
189,190,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,19,19
190,191,13,10,3,1,0,0.077,0.0,0.231,0.769,2,1,0.154,0.077,1,0,0,0,8,0,2,11,2,3,86,2
191,192,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,0,0,0,0,0,0,0,1,1,34,34
192,193,4,2,2,4,2,1.0,0.5,0.5,0.5,4,2,1.0,0.5,0,0,0,0,0,0,2,2,2,2,5,3
193,194,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,1,0,13,13
194,195,8,7,1,0,0,0.0,0.0,0.125,0.875,1,0,0.125,0.0,0,0,0,1,7,0,0,7,1,0,40,8
195,196,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7,7
196,197,4,2,2,1,0,0.25,0.0,0.5,0.5,2,0,0.5,0.0,0,0,0,1,0,1,1,2,2,1,76,6
197,198,22,14,8,3,3,0.136,0.136,0.364,0.636,7,8,0.318,0.364,0,1,0,9,5,0,0,6,16,7,124,3
198,199,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,39,39
199,200,2,1,1,1,0,0.5,0.0,0.5,0.5,1,0,0.5,0.0,0,0,1,1,0,0,0,0,2,0,21,1
200,201,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,0,0,2,0,0,1,0,3,0,31,15
201,202,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,34,34
202,203,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,19,19
203,204,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,8,8
