Applicant ID,Total Missed Payments,Credit Card Accounts,Home Loan Accounts,Personal Loan Accounts,Secured Loan Accounts,Unsecured Loan Accounts,Other Loan Accounts,Oldest Credit Line (Months),Newest Credit Line (Months),Months Since Last Payment,Highest Recent Delinquency,60+ DPD Occurrences,Current Delinquency Level,Credit Card Enquiries (12 Months),Personal Loan Enquiries (12 Months),Months Since Last Credit Enquiry,Credit Enquiries (Last 3 Months),Monthly Income (₹),Employment Duration (Months),Current Balance Ratio (%),Maximum Unsecured Exposure (%),Marital Status,Education,Gender,Total Active Loan Accounts
CUST100020,1,0,0,0,1,6,1,32.0,7.0,79.0,0,0,0,0.0,0.0,710.0,0.0,"₹25,000",5.2 Years,0.6%,1.8%,Married,12TH,Male,1
CUST100021,1,0,0,0,3,0,1,34.0,4.0,64.0,0,0,0,0.0,0.0,683.0,0.0,"₹30,000",10.6 Years,0.9%,1.8%,Married,SSC,Male,1
CUST100022,2,0,0,1,0,7,1,15.0,2.0,57.0,0,0,0,0.0,2.0,147.0,0.0,"₹18,000",12.4 Years,0.7%,8.9%,Married,SSC,Male,2
CUST100023,0,0,0,0,1,0,0,24.0,24.0,64.0,0,0,0,0.0,0.0,717.0,0.0,"₹18,000",8.4 Years,0.0%,1.8%,Married,GRADUATE,Male,0
CUST100024,0,0,0,0,0,1,0,7.0,7.0,51.0,0,0,0,0.0,0.0,153.0,0.0,"₹25,000",4.2 Years,0.3%,2.1%,Single,12TH,Male,0
CUST100025,0,0,0,1,1,3,0,138.0,76.0,1332.0,0,0,0,0.0,0.0,1296.0,0.0,"₹65,000",25.5 Years,0.0%,1.8%,Married,UNDER GRADUATE,Male,1
CUST100026,0,0,0,1,1,2,0,72.0,24.0,87.0,0,0,0,0.0,0.0,1478.0,0.0,"₹20,000",10.7 Years,0.3%,5.4%,Married,SSC,Male,1
CUST100027,0,0,0,0,0,4,2,22.0,10.0,89.0,27,1,27,0.0,1.0,7.0,2.0,"₹15,000",3.2 Years,0.2%,2.1%,Married,GRADUATE,Male,2
CUST100028,1,0,0,1,0,1,0,7.0,7.0,74.0,0,0,0,0.0,5.0,36.0,4.0,"₹40,000",8.4 Years,0.9%,2.5%,Single,GRADUATE,Male,1
CUST100029,1,0,0,0,1,1,0,7.0,2.0,115.0,0,0,0,0.0,0.0,9.0,5.0,"₹20,000",2.5 Years,0.8%,2.5%,Married,OTHERS,Female,0
CUST100030,2,2,0,0,2,12,3,38.0,3.0,41.0,0,0,0,0.0,1.0,70.0,1.0,"₹33,000",10.3 Years,0.7%,4.6%,Married,SSC,Male,5
CUST100031,0,0,0,0,4,1,3,117.0,5.0,26.0,30,0,5,0.0,0.0,3.0,1.0,"₹30,000",3.3 Years,1.5%,1.8%,Married,OTHERS,Male,3
CUST100032,0,0,0,0,2,0,1,111.0,102.0,1836.0,0,0,0,0.0,0.0,3071.0,0.0,"₹50,000",7.1 Years,0.0%,1.8%,Married,GRADUATE,Male,1
CUST100033,0,0,0,0,0,1,1,44.0,44.0,1172.0,0,0,0,0.0,0.0,0.0,0.0,"₹35,000",8.7 Years,0.0%,1.8%,Married,UNDER GRADUATE,Male,1
CUST100034,0,0,1,0,1,0,0,15.0,15.0,107.0,0,0,0,0.0,0.0,579.0,0.0,"₹38,000",22.9 Years,0.9%,1.8%,Married,GRADUATE,Male,1
CUST100035,0,0,0,0,1,0,0,31.0,31.0,208.0,37,0,37,0.0,0.0,916.0,0.0,"₹14,000",8.4 Years,0.0%,1.8%,Married,12TH,Male,0
CUST100036,0,0,0,0,0,2,0,41.0,17.0,44.0,26,0,26,0.0,4.0,10.0,1.0,"₹20,000",15.2 Years,0.0%,3.1%,Married,UNDER GRADUATE,Male,0
CUST100037,0,0,0,0,0,1,0,68.0,68.0,1806.0,0,0,0,0.0,0.0,2048.0,0.0,"₹35,000",15.8 Years,0.0%,0.2%,Married,SSC,Male,0
CUST100038,0,0,0,0,3,1,0,147.0,7.0,50.0,0,0,0,0.0,3.0,4.0,9.0,"₹25,000",10.4 Years,0.8%,1.8%,Married,GRADUATE,Male,0
CUST100039,1,0,0,0,0,2,0,16.0,0.0,258.0,0,0,0,0.0,1.0,4.0,3.0,"₹30,000",7.4 Years,1.0%,0.3%,Married,SSC,Male,0
CUST100040,1,0,0,1,1,3,0,37.0,6.0,79.0,0,0,0,0.0,2.0,141.0,0.0,"₹40,000",12.2 Years,0.2%,2.1%,Married,GRADUATE,Male,1
CUST100041,0,0,0,0,0,1,0,12.0,12.0,179.0,0,0,0,0.0,0.0,363.0,0.0,"₹25,000",3.9 Years,0.0%,1.8%,Married,12TH,Male,0
CUST100042,0,0,0,0,1,0,1,12.0,12.0,133.0,13,0,13,0.0,0.0,0.0,2.0,"₹34,000",5.2 Years,0.9%,1.8%,Married,12TH,Male,1
CUST100043,0,0,0,0,1,0,0,12.0,12.0,51.0,0,0,0,0.0,2.0,102.0,0.0,"₹17,000",10.0 Years,0.7%,1.8%,Married,12TH,Male,0
CUST100044,3,0,0,1,1,12,1,44.0,2.0,78.0,0,0,0,0.0,0.0,71.0,1.0,"₹30,000",8.4 Years,0.4%,5.9%,Married,UNDER GRADUATE,Male,2
CUST100045,2,0,0,1,2,2,1,41.0,12.0,68.0,20,0,20,0.0,1.0,247.0,0.0,"₹19,000",7.2 Years,0.8%,10.5%,Married,GRADUATE,Male,2
CUST100046,0,0,0,0,1,0,1,79.0,79.0,74.0,30,3,30,0.0,0.0,0.0,0.0,"₹23,000",6.0 Years,0.0%,1.8%,Married,UNDER GRADUATE,Male,1
CUST100047,0,0,0,0,0,3,1,81.0,18.0,359.0,18,1,18,0.0,0.0,6.0,1.0,"₹14,000",1.1 Years,0.0%,1.3%,Single,GRADUATE,Male,1
CUST100048,0,0,0,0,0,1,0,5.0,5.0,89.0,0,0,0,0.0,1.0,147.0,0.0,"₹16,500",13.1 Years,0.7%,0.9%,Married,12TH,Male,0
CUST100049,0,0,0,1,4,1,0,98.0,31.0,74.0,0,0,0,0.0,0.0,0.0,0.0,"₹23,000",5.8 Years,0.0%,1.8%,Married,UNDER GRADUATE,Male,1
CUST100050,0,0,0,0,1,0,1,18.0,18.0,77.0,0,0,0,0.0,0.0,550.0,0.0,"₹28,000",10.5 Years,0.4%,1.8%,Married,GRADUATE,Male,1
CUST100051,1,0,0,0,0,2,0,8.0,8.0,40.0,0,0,0,0.0,0.0,232.0,0.0,"₹32,000",15.4 Years,0.4%,0.5%,Married,GRADUATE,Male,0
CUST100052,1,0,0,2,0,9,2,23.0,3.0,74.0,0,0,0,2.0,3.0,43.0,1.0,"₹20,000",2.1 Years,1.0%,6.0%,Married,GRADUATE,Female,4
CUST100053,1,0,0,1,1,6,1,89.0,4.0,41.0,27,0,27,1.0,1.0,132.0,0.0,"₹15,000",2.8 Years,0.7%,6.9%,Married,OTHERS,Male,2
CUST100054,0,0,0,1,3,1,1,169.0,19.0,52.0,10,0,10,0.0,1.0,1.0,1.0,"₹20,000",10.4 Years,0.3%,1.0%,Married,SSC,Male,2
CUST100055,0,0,0,0,0,1,0,10.0,10.0,84.0,0,0,0,0.0,0.0,314.0,0.0,"₹13,000",17.2 Years,0.1%,1.8%,Single,12TH,Male,0
CUST100056,0,0,0,0,1,0,0,9.0,9.0,52.0,0,0,0,0.0,2.0,122.0,0.0,"₹17,200",7.5 Years,0.8%,1.8%,Single,GRADUATE,Male,0
CUST100057,0,0,0,0,3,2,0,69.0,6.0,61.0,5,0,5,6.0,14.0,18.0,3.0,"₹22,000",7.5 Years,0.5%,1.1%,Single,GRADUATE,Male,0
CUST100058,1,0,0,0,0,1,1,3.0,3.0,74.0,0,0,0,0.0,0.0,83.0,1.0,"₹15,000",5.5 Years,0.8%,0.9%,Single,GRADUATE,Male,1
CUST100059,1,0,0,3,39,4,1,154.0,7.0,198.0,16,3,16,0.0,0.0,2.0,1.0,"₹25,000",20.2 Years,0.7%,12.0%,Married,UNDER GRADUATE,Male,4
CUST100060,0,0,0,0,1,0,0,30.0,30.0,71.0,0,0,0,0.0,0.0,3.0,1.0,"₹20,000",15.7 Years,0.3%,1.8%,Married,12TH,Male,0
CUST100061,0,0,0,0,1,0,0,18.0,18.0,47.0,0,0,0,0.0,0.0,566.0,0.0,"₹50,000",3.3 Years,0.3%,1.8%,Single,SSC,Male,0
CUST100062,4,0,0,0,6,4,0,32.0,2.0,61.0,97,2,97,2.0,4.0,12.0,4.0,₹0,4.0 Years,1.0%,1.8%,Single,GRADUATE,Male,0
CUST100063,0,0,0,0,0,4,0,45.0,18.0,93.0,25,0,11,0.0,0.0,552.0,0.0,"₹17,000",8.9 Years,0.4%,3.8%,Married,SSC,Male,0
CUST100064,0,0,0,0,1,1,1,61.0,19.0,96.0,12,0,12,0.0,0.0,586.0,0.0,"₹15,000",5.5 Years,0.4%,1.8%,Married,GRADUATE,Male,1
CUST100065,0,0,0,3,0,5,0,168.0,11.0,32.0,27,0,27,0.0,0.0,347.0,0.0,"₹25,000",15.4 Years,0.0%,1.0%,Married,12TH,Male,3
CUST100066,1,0,0,2,0,2,0,39.0,9.0,74.0,0,0,0,0.0,2.0,282.0,0.0,"₹35,000",10.9 Years,0.9%,12.9%,Married,12TH,Male,2
CUST100067,2,0,0,1,2,6,0,105.0,2.0,71.0,1,0,1,0.0,1.0,62.0,3.0,"₹30,000",25.5 Years,0.6%,2.7%,Married,12TH,Male,1
CUST100068,0,0,0,0,1,0,0,26.0,26.0,408.0,0,0,0,0.0,0.0,0.0,0.0,"₹25,000",5.7 Years,0.0%,1.8%,Married,UNDER GRADUATE,Female,0
CUST100069,0,0,3,0,7,0,4,83.0,13.0,36.0,1,0,1,0.0,0.0,4.0,2.0,"₹13,000",3.2 Years,1.0%,1.8%,Married,SSC,Female,7
CUST100070,2,0,0,0,1,2,1,12.0,2.0,68.0,0,0,0,2.0,0.0,1.0,2.0,"₹20,000",5.9 Years,0.7%,0.9%,Married,UNDER GRADUATE,Male,1
CUST100071,2,0,0,0,3,1,0,15.0,2.0,60.0,27,0,27,0.0,0.0,3.0,2.0,"₹46,000",12.3 Years,1.4%,0.3%,Single,UNDER GRADUATE,Male,0
CUST100072,0,0,0,0,0,5,3,15.0,10.0,83.0,27,0,27,0.0,1.0,89.0,1.0,"₹30,000",4.0 Years,0.1%,0.7%,Married,12TH,Male,3
CUST100073,0,0,0,0,0,2,0,30.0,9.0,57.0,0,0,0,0.0,0.0,899.0,0.0,"₹18,000",25.3 Years,0.4%,1.2%,Married,12TH,Male,0
CUST100074,0,0,0,3,3,3,0,165.0,138.0,3068.0,0,0,0,0.0,1.0,3.0,1.0,"₹20,000",10.8 Years,0.0%,1.8%,Married,GRADUATE,Male,3
CUST100075,1,0,0,0,0,3,1,8.0,4.0,80.0,0,0,0,0.0,4.0,16.0,4.0,"₹20,000",10.4 Years,0.7%,2.4%,Married,GRADUATE,Male,1
CUST100076,0,1,0,0,0,1,0,7.0,7.0,59.0,10,0,10,4.0,4.0,34.0,1.0,"₹11,500",3.2 Years,1.0%,1.2%,Single,GRADUATE,Male,1
CUST100077,3,0,0,0,3,1,3,6.0,2.0,72.0,0,0,0,0.0,1.0,194.0,0.0,"₹35,000",3.8 Years,0.9%,0.5%,Married,OTHERS,Female,3
CUST100078,2,0,0,0,0,3,2,39.0,2.0,112.0,0,0,0,0.0,0.0,58.0,3.0,"₹23,700",4.5 Years,0.7%,0.5%,Single,GRADUATE,Male,2
CUST100079,0,0,0,0,0,1,0,7.0,7.0,109.0,0,0,0,0.0,1.0,72.0,1.0,"₹20,000",1.4 Years,0.4%,1.8%,Married,12TH,Female,0
CUST100080,0,0,0,0,0,1,0,10.0,10.0,112.0,0,0,0,0.0,1.0,291.0,0.0,"₹30,000",8.8 Years,0.0%,0.6%,Married,SSC,Female,0
CUST100081,2,0,0,0,25,5,2,144.0,4.0,41.0,25,0,15,0.0,1.0,3.0,2.0,"₹50,000",12.8 Years,0.6%,9.7%,Married,UNDER GRADUATE,Male,2
CUST100082,0,0,0,0,3,1,0,32.0,14.0,242.0,0,0,0,0.0,0.0,426.0,0.0,"₹18,000",20.6 Years,0.0%,1.8%,Married,12TH,Male,0
CUST100083,0,0,0,0,1,0,0,44.0,44.0,607.0,0,0,0,0.0,0.0,1337.0,0.0,"₹13,700",8.2 Years,0.0%,1.8%,Single,GRADUATE,Male,0
CUST100084,0,0,0,0,1,0,0,54.0,54.0,880.0,0,0,0,0.0,0.0,0.0,0.0,"₹15,000",9.0 Years,0.0%,1.8%,Married,OTHERS,Female,0
CUST100085,0,0,0,0,3,0,3,24.0,23.0,74.0,0,0,0,0.0,0.0,0.0,0.0,"₹22,000",15.1 Years,0.0%,1.8%,Married,OTHERS,Male,3
CUST100086,0,0,0,0,0,1,0,14.0,14.0,186.0,0,0,0,0.0,1.0,105.0,0.0,"₹23,000",1.1 Years,0.0%,1.8%,Married,GRADUATE,Male,0
CUST100087,1,1,0,0,2,1,1,80.0,19.0,74.0,0,0,0,0.0,0.0,2.0,2.0,"₹25,000",12.4 Years,0.0%,1.8%,Married,GRADUATE,Female,2
CUST100088,1,0,0,0,35,0,1,53.0,4.0,115.0,13,0,5,0.0,0.0,18.0,3.0,"₹10,000",25.5 Years,1.0%,1.8%,Married,12TH,Male,1
CUST100089,0,2,0,2,1,5,0,89.0,19.0,47.0,0,0,0,0.0,0.0,384.0,0.0,"₹35,000",12.4 Years,0.8%,6.2%,Married,POST-GRADUATE,Male,4
CUST100090,2,0,0,0,2,9,4,61.0,5.0,67.0,0,0,0,0.0,1.0,92.0,0.0,"₹30,000",2.5 Years,0.8%,5.9%,Single,UNDER GRADUATE,Male,4
CUST100091,1,0,0,0,2,0,0,12.0,11.0,322.0,0,0,0,0.0,0.0,371.0,0.0,"₹25,000",6.0 Years,0.9%,1.8%,Married,POST-GRADUATE,Male,0
CUST100092,0,0,0,0,1,0,0,91.0,91.0,1980.0,0,0,0,0.0,0.0,2572.0,0.0,"₹27,500",14.2 Years,0.0%,1.8%,Married,12TH,Male,0
CUST100093,2,0,0,1,0,20,7,27.0,2.0,66.0,0,0,0,0.0,2.0,25.0,2.0,"₹35,000",10.1 Years,0.8%,5.2%,Married,12TH,Male,8
CUST100094,0,0,0,2,9,2,0,55.0,6.0,79.0,5,0,5,0.0,2.0,192.0,0.0,"₹40,000",5.8 Years,0.9%,5.0%,Single,GRADUATE,Male,2
CUST100095,1,0,0,0,7,0,0,120.0,31.0,936.0,59,1,59,0.0,0.0,0.0,0.0,"₹20,700",3.7 Years,1.2%,1.8%,Married,GRADUATE,Female,0
CUST100096,0,0,0,0,35,0,0,54.0,19.0,503.0,4,0,4,0.0,0.0,0.0,0.0,"₹13,500",10.5 Years,0.0%,1.8%,Married,OTHERS,Male,0
CUST100097,1,0,0,0,1,0,1,1.0,1.0,74.0,0,0,0,0.0,0.0,21.0,3.0,"₹32,000",11.2 Years,1.0%,1.8%,Married,SSC,Male,1
CUST100098,0,1,0,0,1,2,0,37.0,10.0,51.0,23,0,23,0.0,0.0,306.0,0.0,"₹18,000",11.5 Years,0.9%,0.3%,Married,SSC,Male,1
CUST100099,4,0,0,0,7,0,2,100.0,11.0,47.0,14,0,2,0.0,0.0,7.0,2.0,"₹25,000",8.2 Years,1.0%,1.8%,Married,OTHERS,Male,2
CUST100100,0,0,1,1,2,3,0,113.0,3.0,68.0,20,0,20,0.0,0.0,594.0,0.0,"₹35,000",5.5 Years,0.7%,1.1%,Married,POST-GRADUATE,Male,2
CUST100101,0,0,0,1,0,3,1,32.0,8.0,102.0,0,0,0,0.0,1.0,260.0,0.0,"₹14,000",10.2 Years,0.1%,6.0%,Married,SSC,Male,2
CUST100102,0,0,0,0,0,1,0,16.0,16.0,315.0,0,0,0,0.0,0.0,471.0,0.0,"₹25,000",5.5 Years,0.0%,1.8%,Single,GRADUATE,Male,0
CUST100103,0,0,0,0,4,1,5,131.0,52.0,31.0,0,0,0,0.0,0.0,2.0,1.0,"₹90,000",15.4 Years,0.5%,0.6%,Married,SSC,Male,5
CUST100104,0,0,0,0,1,0,1,78.0,78.0,1975.0,0,0,0,0.0,0.0,0.0,0.0,"₹20,000",10.7 Years,0.0%,1.8%,Married,GRADUATE,Male,1
CUST100105,0,0,0,0,1,0,0,77.0,77.0,1056.0,0,0,0,0.0,0.0,2314.0,0.0,"₹22,000",5.2 Years,0.0%,1.8%,Married,12TH,Male,0
CUST100106,0,0,0,0,0,4,4,42.0,6.0,87.0,0,0,0,0.0,0.0,0.0,0.0,"₹15,000",10.2 Years,1.0%,10.3%,Married,OTHERS,Male,4
CUST100107,1,0,0,1,0,11,0,16.0,2.0,46.0,0,0,0,0.0,2.0,33.0,2.0,"₹15,000",5.5 Years,0.7%,14.8%,Married,SSC,Male,1
CUST100108,0,0,0,0,1,0,1,33.0,8.0,74.0,0,0,0,0.0,0.0,0.0,0.0,"₹35,000",30.9 Years,0.0%,1.8%,Married,12TH,Male,1
CUST100109,0,0,0,0,0,2,1,13.0,12.0,82.0,0,0,0,0.0,0.0,390.0,0.0,"₹38,000",10.7 Years,0.9%,13.2%,Married,SSC,Male,1
CUST100110,0,0,0,0,0,1,0,16.0,16.0,244.0,0,0,0,0.0,0.0,563.0,0.0,"₹15,000",5.2 Years,0.0%,1.8%,Married,SSC,Female,0
CUST100111,2,3,0,1,0,9,1,40.0,2.0,40.0,0,0,0,1.0,0.0,53.0,2.0,"₹30,000",15.5 Years,0.7%,10.7%,Married,GRADUATE,Male,5
CUST100112,2,0,1,2,4,2,0,84.0,7.0,74.0,0,0,0,0.0,0.0,37.0,1.0,"₹50,000",13.9 Years,0.8%,2.0%,Married,POST-GRADUATE,Male,3
CUST100113,1,0,0,0,5,3,0,52.0,6.0,44.0,0,0,0,0.0,0.0,2.0,1.0,"₹20,000",5.0 Years,0.7%,1.1%,Married,UNDER GRADUATE,Male,0
CUST100114,0,0,0,0,0,1,0,8.0,8.0,75.0,0,0,0,0.0,1.0,228.0,0.0,"₹30,000",5.3 Years,0.4%,0.6%,Married,GRADUATE,Male,0
CUST100115,0,0,0,0,0,1,0,4.0,4.0,64.0,0,0,0,0.0,3.0,8.0,2.0,"₹15,000",3.0 Years,0.5%,1.3%,Single,OTHERS,Female,0
CUST100116,0,0,0,1,1,1,0,99.0,86.0,1854.0,0,0,0,0.0,0.0,2587.0,0.0,"₹18,000",12.8 Years,0.0%,1.8%,Single,12TH,Male,1
CUST100117,0,0,0,0,0,3,1,14.0,3.0,63.0,0,0,0,0.0,0.0,436.0,0.0,"₹28,000",5.2 Years,0.7%,1.0%,Single,GRADUATE,Male,1
CUST100118,0,0,0,1,3,1,2,7.0,4.0,90.0,0,0,0,0.0,5.0,2.0,2.0,"₹30,000",1.2 Years,0.9%,1.8%,Single,GRADUATE,Male,3
CUST100119,0,0,0,1,0,4,0,33.0,3.0,38.0,6,0,6,0.0,2.0,18.0,1.0,"₹15,000",4.7 Years,0.8%,10.9%,Married,12TH,Female,1
CUST100120,1,0,0,0,0,2,1,5.0,5.0,54.0,0,0,0,0.0,0.0,161.0,0.0,"₹12,000",3.4 Years,0.4%,1.2%,Single,SSC,Male,1
CUST100121,1,0,0,0,2,0,0,36.0,5.0,167.0,20,0,20,0.0,0.0,1097.0,0.0,"₹30,000",2.9 Years,1.0%,1.8%,Married,GRADUATE,Male,0
CUST100122,0,0,0,0,2,1,0,8.0,3.0,60.0,0,0,0,0.0,1.0,0.0,2.0,"₹28,000",4.8 Years,0.7%,1.5%,Single,GRADUATE,Male,0
CUST100123,0,0,0,0,2,12,1,84.0,11.0,78.0,30,0,30,0.0,0.0,447.0,0.0,"₹15,000",10.8 Years,0.6%,1.8%,Single,GRADUATE,Male,1
CUST100124,0,0,0,0,1,0,0,24.0,24.0,280.0,26,0,26,0.0,0.0,1.0,1.0,"₹45,000",9.5 Years,0.0%,1.8%,Married,UNDER GRADUATE,Male,0
CUST100125,0,0,0,0,1,0,0,10.0,10.0,33.0,0,0,0,0.0,0.0,312.0,0.0,"₹150,000",8.9 Years,0.9%,1.8%,Married,SSC,Male,0
CUST100126,0,0,0,0,0,1,0,3.0,3.0,55.0,0,0,0,0.0,0.0,102.0,0.0,"₹17,000",3.2 Years,0.9%,1.5%,Married,UNDER GRADUATE,Male,0
CUST100127,0,0,0,0,0,1,1,48.0,48.0,755.0,0,0,0,0.0,0.0,1.0,7.0,"₹23,000",15.5 Years,0.0%,1.8%,Married,12TH,Male,1
CUST100128,0,0,0,0,4,1,1,105.0,7.0,56.0,11,0,11,0.0,0.0,30.0,3.0,"₹350,000",10.8 Years,1.0%,1.8%,Married,SSC,Male,1
CUST100129,0,0,0,0,10,1,0,77.0,10.0,114.0,0,0,0,0.0,1.0,290.0,0.0,"₹12,000",2.1 Years,0.4%,2.5%,Married,GRADUATE,Female,0
CUST100130,0,0,0,0,0,3,0,15.0,8.0,79.0,0,0,0,0.0,0.0,466.0,0.0,"₹50,000",3.7 Years,0.2%,0.8%,Married,12TH,Female,0
CUST100131,0,0,0,3,0,3,0,120.0,4.0,58.0,29,0,29,0.0,2.0,1.0,1.0,"₹45,000",30.8 Years,1.0%,15.6%,Married,SSC,Male,3
CUST100132,0,0,0,0,1,1,0,9.0,6.0,99.0,0,0,0,0.0,1.0,175.0,0.0,"₹40,000",15.5 Years,0.0%,0.7%,Married,SSC,Male,0
CUST100133,0,0,0,0,1,0,0,33.0,33.0,626.0,24,0,24,0.0,0.0,992.0,0.0,"₹20,000",10.4 Years,0.0%,1.8%,Married,12TH,Male,0
CUST100134,0,0,0,0,0,1,1,20.0,20.0,33.0,0,0,0,0.0,0.0,3.0,1.0,"₹14,000",9.2 Years,0.7%,3.6%,Married,POST-GRADUATE,Male,1
CUST100135,0,0,0,0,3,1,0,72.0,9.0,50.0,0,0,0,0.0,0.0,295.0,0.0,"₹15,000",3.7 Years,0.7%,0.1%,Single,UNDER GRADUATE,Female,0
CUST100136,0,0,0,0,0,1,0,18.0,18.0,368.0,0,0,0,0.0,0.0,60.0,1.0,"₹26,500",6.8 Years,0.0%,1.8%,Married,12TH,Male,0
CUST100137,0,0,0,0,2,0,0,10.0,10.0,77.0,0,0,0,0.0,0.0,264.0,0.0,"₹26,000",12.8 Years,0.9%,1.8%,Married,SSC,Male,0
CUST100138,0,0,0,0,1,0,1,37.0,37.0,453.0,0,0,0,0.0,0.0,1154.0,0.0,"₹24,000",5.4 Years,0.0%,1.8%,Married,12TH,Female,1
CUST100139,0,0,0,0,1,0,0,33.0,33.0,249.0,0,0,0,0.0,0.0,159.0,0.0,"₹23,000",7.5 Years,0.0%,1.8%,Single,GRADUATE,Male,0
CUST100140,0,0,0,0,2,2,4,35.0,6.0,109.0,0,0,0,0.0,0.0,0.0,0.0,"₹18,400",6.4 Years,0.9%,7.2%,Single,SSC,Male,4
CUST100141,0,0,0,0,0,1,0,3.0,3.0,35.0,0,0,0,0.0,0.0,104.0,0.0,"₹16,000",4.0 Years,0.8%,1.1%,Single,GRADUATE,Male,0
CUST100142,1,0,0,1,8,3,3,84.0,5.0,49.0,0,0,0,0.0,2.0,124.0,0.0,"₹35,000",10.7 Years,0.6%,22.6%,Married,GRADUATE,Male,4
CUST100143,4,0,0,0,14,0,2,110.0,2.0,65.0,15,0,15,0.0,1.0,216.0,0.0,"₹20,000",25.9 Years,0.7%,1.8%,Married,SSC,Female,2
CUST100144,0,0,0,1,1,2,0,46.0,18.0,173.0,25,0,25,0.0,5.0,49.0,3.0,"₹14,900",2.4 Years,0.0%,1.8%,Married,12TH,Male,1
CUST100145,1,0,0,0,1,1,1,46.0,3.0,1183.0,0,0,0,0.0,0.0,1.0,3.0,"₹25,000",8.0 Years,0.6%,0.9%,Single,OTHERS,Male,1
