PROSPECTID,Actual_Risk_Grade
CUST101348,2
CUST101349,2
CUST101350,1
CUST101351,1
CUST101352,3
CUST101353,1
CUST101354,1
CUST101355,1
CUST101356,3
CUST101357,2
CUST101358,1
CUST101359,0
CUST101360,1
CUST101361,1
CUST101362,1
CUST101363,3
CUST101364,1
CUST101365,0
CUST101366,1
CUST101367,2
CUST101368,1
CUST101369,0
CUST101370,1
CUST101371,3
CUST101372,1
CUST101373,1
CUST101374,1
CUST101375,1
CUST101376,3
CUST101377,1
CUST101378,2
CUST101379,1
CUST101380,1
CUST101381,1
CUST101382,1
CUST101383,1
CUST101384,1
CUST101385,0
CUST101386,1
CUST101387,1
CUST101388,3
CUST101389,1
CUST101390,3
CUST101391,0
CUST101392,3
CUST101393,0
CUST101394,1
CUST101395,2
CUST101396,1
CUST101397,1
CUST101398,1
CUST101399,1
CUST101400,0
CUST101401,2
CUST101402,3
CUST101403,1
CUST101404,1
CUST101405,2
CUST101406,2
CUST101407,1
CUST101408,1
CUST101409,1
CUST101410,0
CUST101411,1
CUST101412,1
CUST101413,1
CUST101414,1
CUST101415,1
CUST101416,1
CUST101417,1
CUST101418,1
CUST101419,1
CUST101420,3
CUST101421,3
CUST101422,1
CUST101423,1
CUST101424,1
CUST101425,1
CUST101426,1
CUST101427,1
CUST101428,0
CUST101429,0
CUST101430,3
CUST101431,1
CUST101432,1
CUST101433,3
CUST101434,1
CUST101435,1
CUST101436,1
CUST101437,1
CUST101438,2
CUST101439,1
CUST101440,1
CUST101441,1
CUST101442,1
CUST101443,3
CUST101444,1
CUST101445,3
CUST101446,3
CUST101447,2
CUST101448,1
CUST101449,0
CUST101450,0
CUST101451,1
CUST101452,1
CUST101453,1
CUST101454,1
CUST101455,2
CUST101456,2
CUST101457,1
CUST101458,3
CUST101459,1
CUST101460,1
CUST101461,2
CUST101462,1
CUST101463,1
CUST101464,2
CUST101465,1
CUST101466,2
CUST101467,0
CUST101468,3
CUST101469,1
CUST101470,2
CUST101471,0
CUST101472,0
CUST101473,1
CUST101474,1
CUST101475,2
CUST101476,1
CUST101477,0
CUST101478,3
CUST101479,1
CUST101480,2
CUST101481,1
CUST101482,0
CUST101483,2
CUST101484,2
CUST101485,1
CUST101486,1
CUST101487,1
CUST101488,3
CUST101489,1
CUST101490,3
CUST101491,0
CUST101492,2
CUST101493,1
CUST101494,1
CUST101495,1
CUST101496,0
CUST101497,1
CUST101498,1
CUST101499,1
CUST101500,1
CUST101501,1
CUST101502,1
CUST101503,1
CUST101504,1
CUST101505,0
CUST101506,1
CUST101507,2
CUST101508,1
CUST101509,1
CUST101510,3
CUST101511,0
CUST101512,1
CUST101513,1
CUST101514,1
CUST101515,2
CUST101516,2
CUST101517,1
CUST101518,3
CUST101519,1
CUST101520,1
CUST101521,1
CUST101522,2
CUST101523,1
CUST101524,1
CUST101525,1
CUST101526,1
CUST101527,1
CUST101528,1
CUST101529,1
CUST101530,0
CUST101531,0
CUST101532,1
CUST101533,2
CUST101534,1
CUST101535,1
CUST101536,1
CUST101537,1
CUST101538,1
CUST101539,1
CUST101540,3
CUST101541,3
CUST101542,3
CUST101543,1
CUST101544,2
CUST101545,2
CUST101546,3
CUST101547,1
CUST101548,0
CUST101549,1
CUST101550,1
CUST101551,1
CUST101552,3
CUST101553,1
CUST101554,1
CUST101555,1
CUST101556,1
CUST101557,0
CUST101558,1
CUST101559,1
CUST101560,1
CUST101561,0
CUST101562,1
CUST101563,1
CUST101564,1
CUST101565,1
CUST101566,1
CUST101567,1
CUST101568,1
CUST101569,1
CUST101570,1
CUST101571,1
CUST101572,1
CUST101573,1
CUST101574,1
CUST101575,1
CUST101576,2
CUST101577,1
CUST101578,3
CUST101579,1
CUST101580,1
CUST101581,1
CUST101582,1
CUST101583,1
CUST101584,1
CUST101585,1
CUST101586,3
CUST101587,1
CUST101588,0
CUST101589,3
CUST101590,1
CUST101591,2
CUST101592,1
CUST101593,1
CUST101594,0
CUST101595,1
CUST101596,1
CUST101597,1
CUST101598,1
CUST101599,3
CUST101600,1
CUST101601,2
CUST101602,1
CUST101603,1
CUST101604,2
CUST101605,2
CUST101606,0
CUST101607,2
CUST101608,1
CUST101609,2
CUST101610,1
CUST101611,0
CUST101612,1
CUST101613,2
CUST101614,1
CUST101615,1
CUST101616,1
CUST101617,1
CUST101618,3
CUST101619,2
CUST101620,1
CUST101621,1
CUST101622,1
CUST101623,3
CUST101624,3
CUST101625,3
CUST101626,1
CUST101627,1
CUST101628,3
CUST101629,1
CUST101630,1
CUST101631,3
CUST101632,1
CUST101633,2
CUST101634,2
CUST101635,1
CUST101636,2
CUST101637,1
CUST101638,1
CUST101639,1
CUST101640,3
CUST101641,1
CUST101642,2
CUST101643,3
CUST101644,1
CUST101645,1
CUST101646,3
CUST101647,2
CUST101648,1
CUST101649,1
CUST101650,1
CUST101651,1
CUST101652,2
CUST101653,0
CUST101654,2
CUST101655,1
CUST101656,1
CUST101657,1
CUST101658,1
CUST101659,1
CUST101660,1
CUST101661,1
CUST101662,1
CUST101663,1
CUST101664,1
CUST101665,1
CUST101666,1
CUST101667,1
CUST101668,1
CUST101669,0
CUST101670,1
CUST101671,1
CUST101672,1
CUST101673,3
CUST101674,1
CUST101675,1
CUST101676,1
CUST101677,2
CUST101678,2
CUST101679,2
CUST101680,0
CUST101681,1
CUST101682,0
CUST101683,2
CUST101684,1
CUST101685,3
CUST101686,1
CUST101687,1
CUST101688,1
CUST101689,1
CUST101690,1
CUST101691,1
CUST101692,1
CUST101693,1
CUST101694,1
CUST101695,1
CUST101696,1
CUST101697,1
CUST101698,2
CUST101699,1
CUST101700,0
CUST101701,1
CUST101702,1
CUST101703,1
CUST101704,0
CUST101705,1
CUST101706,1
CUST101707,1
CUST101708,2
CUST101709,1
CUST101710,1
CUST101711,0
CUST101712,1
CUST101713,2
CUST101714,0
CUST101715,3
CUST101716,1
CUST101717,1
CUST101718,1
CUST101719,1
CUST101720,2
CUST101721,1
CUST101722,0
CUST101723,1
CUST101724,1
CUST101725,0
CUST101726,2
CUST101727,1
CUST101728,0
CUST101729,1
CUST101730,1
CUST101731,0
CUST101732,1
CUST101733,1
CUST101734,3
CUST101735,1
CUST101736,1
CUST101737,1
CUST101738,1
CUST101739,0
CUST101740,3
CUST101741,1
CUST101742,3
CUST101743,0
CUST101744,0
CUST101745,1
